,dist,solution_id,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_good_obs_ac,astrometric_n_bad_obs_al,astrometric_n_bad_obs_ac,astrometric_delta_q,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,astrometric_relegation_factor,astrometric_weight_al,astrometric_weight_ac,astrometric_priors_used,matched_observations,duplicated_source,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_variable_flag,l,b,ecl_lon,ecl_lat
0,0.00043537315983595157,1.6353784107819336e+18,4.826116108972089e+18,260237318.0,2015.0,78.54543628488287,1.508368698296043,-33.43952176261534,1.72595595430786,,,,,,,-0.4675,,,,,,,,,,125.0,0.0,124.0,0.0,1.0,0.0,,8.847374610491764,789.4995959715224,False,15.325909,0.012016785,,2.0,17.0,False,0.2668013,0.1508832,0.3706455,0.4535762,-120.908844,50.27407,-12.547309,-23.386963,150.0,1225.0622940550613,14.940641420238459,17.804374631320766,b'NOT_AVAILABLE',236.6287952302775,-33.8524890809916,72.67260830417077,-56.19185497898835
0,0.00015777651505700417,1.6353784107819336e+18,9.259072329005215e+17,841913025.0,2015.0,116.72082329299346,0.652216944780859,44.064364764395165,0.3730217133103621,,,,,,,0.3658,,,,,,,,,,122.0,0.0,122.0,0.0,0.0,0.0,,0.0,0.0,False,1.0,0.11716773,,2.0,17.0,False,0.36847,0.27595,0.28237247,0.59990245,172.30975,-0.6263968,19.984232,-24.534119,120.0,264.9077467660499,2.799041818548442,19.467033417167347,b'NOT_AVAILABLE',175.16679600778275,28.055741379008253,110.47084086032427,22.50570358934252
1,0.00016329504033357208,1.6353784107819336e+18,9.259072329005216e+17,870063905.0,2015.0,116.72118930919886,0.6153595264417243,44.064220169119075,0.3859306737593071,,,,,,,0.2566,,,,,,,,,,138.0,0.0,137.0,0.0,1.0,0.0,,1.4742807371817757,3.0162997747768743,False,5.762824,0.09754387,,2.0,17.0,False,0.39415893,0.239125,0.28581926,0.6111134,-175.6992,8.600818,16.04487,-24.992393,135.0,283.3714431364145,3.0267732155182547,19.39387985902283,b'NOT_AVAILABLE',175.1670170103359,28.05596950515536,110.47115046165902,22.505612648474646
0,3.570036109018504e-05,1.6353784107819336e+18,6.705205403815148e+17,123731127.0,2015.0,121.59877695158788,0.712037455073089,20.108884923238573,0.6580672697144994,,,,,,,-0.7185,,,,,,,,,,113.0,0.0,112.0,0.0,1.0,0.0,,0.0,9.71434029430417e-16,False,1.0,0.16811615,,2.0,17.0,False,0.1505093,0.59488416,0.3548728,0.2557497,-15.333172,25.845097,7.1385317,-30.80163,110.0,358.66686876141694,1.9328596197960706,19.138041910543716,b'NOT_AVAILABLE',202.20740275866245,25.167128225694842,119.47404088943453,-0.15547231311699677
0,0.00011026310856447276,1.6353784107819336e+18,6.82614034415644e+17,1117658119.0,2015.0,123.38030270972483,0.9545696544973505,25.750860488569522,0.6127777020219483,,,,,,,-0.39395,,,,,,,,,,116.0,0.0,114.0,0.0,2.0,0.0,,4.238813223192125,909.1168655669399,False,16.348368,0.054019563,,2.0,14.0,False,0.31982642,0.55350375,0.23269904,0.3955753,-150.89363,25.805803,-27.5888,-43.358166,113.0,6831.758982812524,48.13093792539859,15.938438722580537,b'NOT_AVAILABLE',196.8809567665648,28.62709268492897,119.86931007788141,5.706681699595021
1,0.00013993472486474094,1.6353784107819336e+18,6.826140344156443e+17,930416561.0,2015.0,123.38054227255338,1.4695822917829415,25.750793666995893,0.9669031312153239,,,,,,,-0.1534,,,,,,,,,,54.0,0.0,48.0,0.0,6.0,0.0,,4.689524198404595,135.1392158458614,False,18.08049,0.042122245,,2.0,13.0,False,0.21758203,0.24840565,0.20465073,0.8440999,-178.99167,-3.1005156,40.7198,-31.54895,16.0,2587.9352809561124,347.7718579523058,16.992386535582927,b'NOT_AVAILABLE',196.88110611697826,28.6272766343559,119.86953638507808,5.70666397242439
0,0.0007062926354550471,1.6353784107819336e+18,6.495148131188339e+17,64632725.0,2015.0,125.41226007551575,3.9547960094954773,12.29166501354761,1.1037838954447636,,,,,,,-0.96665,,,,,,,,,,87.0,0.0,87.0,0.0,0.0,0.0,,0.7417209325683137,1.57314094597003,False,1.4068028,0.28601548,,2.0,12.0,False,0.05275009,0.30781922,0.14581037,0.7802827,-87.6031,30.697277,59.276936,-34.055748,103.0,649.960775276815,6.102444239808498,18.492552193752058,b'NOT_AVAILABLE',211.75160272768838,25.505000330456202,124.77771074044742,-6.975042930285136
0,0.0003464588938516684,1.6353784107819336e+18,1.0287428675272151e+18,378240204.0,2015.0,127.92379001576099,4.99201658141494,52.7548915322353,2.887315710370354,,,,,,,0.50505,,,,,,,,,,69.0,0.0,69.0,0.0,0.0,0.0,,11.286388597466102,4915.8311085856085,False,43.45964,0.007669671,,2.0,8.0,True,0.4353537,0.06434728,0.34822118,0.39049265,-90.65152,-4.1219935,0.6806696,-23.349415,68.0,8446.804384706656,132.42187543641498,15.708038972111337,b'NOT_AVAILABLE',165.7547100347084,36.24051446971503,116.23868990272511,32.71485270871386
0,0.000711284663621046,1.6353784107819336e+18,1.0162182274933628e+18,1094438217.0,2015.0,135.8965221268216,0.736804130678641,50.47228720768919,0.7483969978407515,,,,,,,-0.1584,,,,,,,,,,94.0,0.0,92.0,0.0,2.0,0.0,,0.0,0.0,False,1.0,0.06640673,,2.0,20.0,False,0.112198874,0.45388135,0.5795356,0.5673855,-124.05271,69.744415,17.121746,-17.810884,126.0,181.6387291062291,1.8541725744875448,19.876748927444098,b'NOT_AVAILABLE',168.21812025870884,41.33932647290277,122.65201978107793,32.10531585057868
0,0.0008256514204459048,1.6353784107819336e+18,5.805370885861987e+17,576976563.0,2015.0,137.86423200625768,6.263339466109143,5.848517353757841,9.211621041099756,,,,,,,-0.87365,,,,,,,,,,34.0,0.0,34.0,0.0,0.0,0.0,,0.6721069420973687,0.16477336832589545,False,1.036002,0.07974558,,2.0,7.0,False,0.5274869,0.112207144,0.4234206,0.9659638,159.28714,17.599318,36.190872,-26.80219,52.0,185.1608576698982,2.499825457435706,19.85589710439368,b'NOT_AVAILABLE',224.68429263757824,33.66549913925149,138.49134868751315,-9.90325487443995
1,0.0008392934558634994,1.6353784107819336e+18,5.805370928791668e+17,1072943905.0,2015.0,137.86513688698116,10.764902334530023,5.848410814938835,16.027377969683076,,,,,,,-0.8953,,,,,,,,,,34.0,0.0,34.0,0.0,0.0,0.0,,1.022557789443863,1.3965719013105704,False,4.0614758,0.22745799,,2.0,8.0,False,0.5274869,0.11220716,0.4234206,0.9659638,159.28723,17.59941,36.190968,-26.802097,52.0,517.051546968566,9.953201502567328,18.740935459258168,b'NOT_AVAILABLE',224.68492662667367,33.66623618299454,138.4922529296779,-9.90308697926123
0,0.00012797249794940864,1.6353784107819336e+18,1.0226636376695862e+18,421748501.0,2015.0,138.25417867568146,0.3252234733300549,52.99138041689827,1.0562267640849963,,,,,,,-0.6406,,,,,,,,,,107.0,0.0,105.0,0.0,2.0,0.0,,1.7870520014221898,131.50777117817876,False,6.951744,0.27631468,,2.0,15.0,False,0.42510578,0.63538086,0.48564094,0.6594903,-71.56287,75.24248,18.268549,-10.483453,133.0,5105.293779689286,45.31939580173547,16.25471821824015,b'NOT_AVAILABLE',164.581068848348,42.40856954916617,123.2364723554642,34.975618096742465
