qso_name,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,pmra_pmdec_corr,astrometric_pseudo_colour,astrometric_pseudo_colour_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
HE0047-1756,2369490546185699328,12.615931011167342,0.07638841152972192,-17.66921419755363,0.05822007383005522,0.09769778727259683,0.09257742044179541,1.055309,0.07639838598936065,0.15812938259060758,-0.006803240550360017,0.1096413017751152,0.30117676,1.6202920538191523,0.012361253744650405,16.563572,16.620966,15.937707
HE0047-1756,2369490546185041280,12.615998883651619,0.18938567082202526,-17.669605488730372,0.1404478681136169,-0.6824757591074294,0.23147738222213934,-2.9483476,-0.3305277264419079,0.4034086527973692,-0.11029188092122126,0.2654502440144879,0.30538195,1.6189173217865562,0.030294415187364976,18.164522,,
Q0142-100,2464353656357088512,26.319753525576928,0.3704131846156257,-9.75496700646374,0.28675394717555,-0.9397067461218805,0.451564329510299,-2.081003,-2.2242731165337624,0.91784093277633,-1.6649709385071636,0.481137760911605,0.10971305,1.4441809390562115,0.09190892511420914,18.988495,18.913712,18.06042
Q0142-100,2464353660650971520,26.319149007415707,0.08342013699698152,-9.754795834585083,0.0647284795499967,-0.044349049371868364,0.1009538597033603,-0.43930018,0.17622919952304408,0.20340697067042418,0.31933037474627285,0.11724023252579567,0.17587905,1.6532172321180687,0.02174204708785456,16.824093,17.006912,16.412447
QJ0158-4325,4956574748449686272,29.67264010804681,0.0788298328265627,-43.41768343089706,0.08576928611636095,-0.5341365390918963,0.11636463802216741,-4.590196,-0.9312962348064273,0.1527947208316252,2.14930506467827,0.17331753043302534,-0.24411063,1.6797755379206378,0.021639673836713138,17.603382,17.448757,16.989534
QJ0158-4325,4956574748451377408,29.672198127473315,0.2449366719733749,-43.41779364537643,0.35056018013216245,0.2066258171724196,0.3387619086721201,0.60994405,0.17551663180020408,0.4733081644410157,-0.16523492179833743,0.7518076975280246,-0.6855722,1.7086813292561047,0.057035213724271804,19.091948,,
B0218+357,328069053976561536,35.272890436404566,0.8568870745086619,35.93718400584067,0.7028671360116735,-1.421944498481668,0.9294628214728672,-1.5298562,-1.794487363689527,1.8550156274064988,-2.4174246075051116,1.5125088693196136,0.313543,1.1943554634195368,0.21692855286302232,19.982449,20.468323,18.755981
HE0230-2130,5126705515511054080,38.13832537061057,0.19889428282856547,-21.29067749449888,0.33685923793607725,0.1553081320232165,0.3857900376295089,0.40257165,0.34678857196549606,0.5596426681599019,-0.7950065880516104,0.7231864631240614,-0.049964584,1.7990224177021699,0.04732625307449902,19.035519,18.375504,17.738792
HE0230-2130,5126705515510051584,38.13811782065646,0.24979241102213684,-21.290749060257742,0.46263724404162754,-0.36283162592433793,0.5374027776607325,-0.6751577,0.5912455377191912,0.7183938685848276,0.9938263246574205,0.9856408336354753,-0.2071873,1.6839592199900428,0.05995551708814117,19.304102,,
HE0230-2130,5126705515510051712,38.13847486587235,0.444898323364389,-21.290240322751682,0.6378067597353112,-1.0351948518825476,0.7977594743803176,-1.2976278,-0.5492108975272092,0.9595263684718127,-4.363205871757628,1.1696906906563047,-0.08964563,1.6330557179354297,0.1121116972399874,20.065113,,
